NUTS1,NUTS2,NUTS3,DISTRICT_CODE,SUB_DISTRICT_CODE,YEAR,REF_YEAR,CENTRAL_HEATING,DISTRICT_HEATING,ELECTRIC_HEATING,STOVE
AT1,AT13,AT130,90001,0,2003,2020,351.434,264.471,57.073,123.858
AT1,AT13,AT130,90001,0,2005,2020,349.366,279.038,55.32,128.114
AT1,AT13,AT130,90001,0,2007,2020,350.213,313.804,48.863,110.63
AT1,AT13,AT130,90001,0,2009,2020,366.417,320.294,58.09,87.433
AT1,AT13,AT130,90001,0,2011,2020,356.116,343.521,53.519,92.033
AT1,AT13,AT130,90001,0,2013,2020,384.961,384.28,42.633,57.259
AT1,AT13,AT130,90001,0,2015,2020,413.098,396.216,36.893,49.599
AT1,AT13,AT130,90001,0,2017,2020,399.979,409.236,53.682,41.946
AT1,AT13,AT130,90001,0,2019,2020,431.5,390.491,45.898,43.623
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"NUTS1 (AT1 für Ostösterreich) NUTS2 (AT13 für Bundesland Wien) NUTS3 (AT130 für Stadt Wien) DISTRICT_CODE (90001 für Wien) SUB_DISTRICT_CODE (0 da nicht verwendet) YEAR (Jahr, für das die Werte gelten) REF_YEAR (Datenjahr) CENTRAL_HEATING (Zentralheizung) DISTRICT_HEATING (Fernwärme) STOVE (Einzelofen) ELECTRIC_HEATING (Stromheizung)",,,,,,,,,,
Heizungsart Wien - Datensatz - data.gv.at # Needs to be same as WordPress.,,,,,,,,,,
